的	〔白勹丶 · unid〕
𠢁	〔丷夫一力 · hhfs〕
𠢂	〔土力力 · gpss〕
𠢃	〔日一勹力 · ofns〕
𠢄	〔䒑口土力 · hdgs〕
𠢅	〔虍攵力 · zhsl〕
𠢆	〔宀丰口力 · wads〕
𠢇	〔十日十力 · nons〕
𠢈	〔工力 · pusl〕
𠢉	〔一冂力 · qfms〕
𠢊	〔八力 · whsl〕
𠢋	〔力口貝 · sdob〕
𠢌	〔㇏刀力 · aips〕
𠢍	〔虍文力 · zvsl〕
𠢎	〔丨日田力 · goqs〕
𠢏	〔丿米大力 · tpms〕
𠢐	〔牙攵厂力 · lhxs〕
𠢑	〔辰寸力 · fksl〕
𠢒	〔⺈人力 · xmjs〕
𠢓	〔⺿日大力 · loms〕
𠢔	〔匸口口力 · ndds〕
𠢕	〔士方攵力 · glhs〕
𠢖	〔六力 · awps〕
𠢗	〔冂古力 · imcs〕
𠢘	〔页大力 · wmsl〕
𠢙	〔⺮厶口力 · rkds〕
𠢚	〔丷夫目力 · hhqs〕
𠢛	〔弓爫冖力 · byws〕
𠢜	〔羽人小力 · zjys〕
𠢝	〔曰罒又力 · oyrs〕
𠢞	〔扌九丶力 · ukis〕
𠢟	〔且力扌丶 · fsui〕
𠢠	〔木冂木力 · emes〕
𠢡	〔⺮亼口力 · rjds〕
𠢢	〔予丿木力 · ites〕
𠢣	〔𡭔丿力 · ytsh〕
𠢤	〔厂䒑力 · xhss〕
𠢥	〔弗貝力 · tosl〕
𠢦	〔束力一止 · xsfs〕
𠢧	〔舟丷夫力 · ihhs〕
𠢨	〔力 · whsl〕
𠢩	〔土土土力 · gggs〕
𠢪	〔㡀攵力 · fhsl〕
𠢫	〔未丷力止 · ahss〕
𠢬	〔𠂉卌一力 · elfs〕
𠢭	〔厂䒑力 · xhss〕
𠢮	〔由冖田力 · dwqs〕
𠢯	〔羽人⺗力 · zjhs〕
𠢰	〔一ㄅ力 · wfas〕
𠢱	〔木木示力 · eefs〕
𠢲	〔⺈用刀力 · xtps〕
𠢳	〔土人人力 · gjjs〕
𠢴	〔⺈黒力 · xpsl〕
𠢵	〔木木示力 · eefs〕
𠢶	〔巛木力 · opes〕
𠢷	〔木人人木 · ejje〕
𠢸	〔火火火力 · cccs〕
𠢹	〔广黃力 · xnsl〕
𠢺	〔厶口木力 · kdes〕
𠢻	〔亠非日力 · zros〕
𠢼	〔厶目力 · kqas〕
𠢽	〔艹田艹力 · lqls〕
𠢾	〔十田非力 · nqrs〕
𠢿	〔田田田力 · qqqs〕
𠣀	〔弓一田力 · bfqs〕
𠣁	〔火火冖力 · ccws〕
𠣂	〔言束丷力 · sxhs〕
𠣃	〔弓一田力 · bfqs〕
𠣄	〔匕力 · wvvs〕
𠣅	〔⺿丿㠯力 · ltks〕
𠣆	〔丿囗力 · ptrs〕
𠣇	〔𡭔丿力車 · ytsy〕
𠣈	〔言糹糹力 · siis〕
𠣉	〔而力 · tlws〕
𠣊	〔虍田力 · rzqs〕
𠣋	〔非口力 · rtds〕
𠣌	〔勹𠂇 · nns〕
𠣍	〔勹干 · neg〕
𠣎	〔勹幺 · niy〕
𠣏	〔勹止 · nsi〕
𠣐	〔勹广 · nxg〕
𠣑	〔勹二儿 · nmpe〕
𠣒	〔勹亻二 · njme〕
𠣓	〔勹云 · nby〕
𠣔	〔丿七勹 · trne〕
𠣕	〔勹丶王 · ninw〕
𠣖	〔勹亠幺 · nziy〕
𠣗	〔勹土厶 · ngks〕
𠣘	〔勹舟 · nio〕
𠣙	〔勹一日一 · nfof〕
𠣚	〔勹二日 · nmor〕
𠣛	〔勹厶木 · nkem〕
𠣜	〔勹虫 · ncc〕
𠣝	〔⺆亠勹二 · mznm〕
𠣞	〔勹車 · nyc〕
𠣟	〔勹厶儿夊 · nkph〕
𠣠	〔勹⺊ · nyic〕
𠣡	〔勹八日一 · nhof〕
𠣢	〔勹二勹山 · nmnv〕
𠣣	〔一⺊ㄅ亾 · fyaf〕
𠣤	〔勹日ㄅ · noha〕
𠣥	〔勹豕丶 · njid〕
𠣦	〔勹廿火 · nlch〕
𠣧	〔勹小勹小 · nyny〕
𠣨	〔勹夕勹夕 · nlnl〕
𠣩	〔束勹一 · xnfi〕
𠣪	〔句句 · ggj〕
𠣫	〔刀口句 · pdgj〕
𠣬	〔勹日八ㄅ · noha〕
𠣭	〔勹立口 · nidk〕
𠣮	〔勹大羊 · nmgy〕
𠣯	〔勹⺿田 · nlqt〕
𠣰	〔勹耂日 · nqor〕
𠣱	〔勹⺊囗 · nyrd〕
𠣲	〔勹艹士凵 · nlgm〕
𠣳	〔⺊日十丶 · yoni〕
𠣴	〔勹𠂉日夊 · neoh〕
𠣵	〔勹甫寸 · nnkc〕
𠣶	〔勹巳口刂 · nvdp〕
𠣷	〔卝句勹丶 · lgni〕
𠣸	〔勹口夊 · ngdh〕
𠣹	〔勹旡 · nidu〕
𠣺	〔冫七木巳 · wrev〕
𠣻	〔大丷二巳 · mhmv〕
𠣼	〔大示勹巳 · mfnv〕
𠣽	〔勹乛耳攵 · naqh〕
𠣾	〔勹彳𠂉夊 · nweh〕
𠣿	〔勹⺊日殳 · nyor〕
𠤀	〔⺈目夊 · xqhe〕
𠤁	〔口口二巳 · ddmv〕
𠤂	〔勹身二弓 · nzmb〕
𠤃	〔大丷示巳 · mhfv〕
𠤄	〔勹⺮土 · nrgg〕
𠤅	〔勹⺿土皿 · nlga〕
𠤆	〔勹氵日 · neko〕
𠤇	〔勹彳夊 · nwgh〕
𠤈	〔勹人人丨 · njjg〕
𠤉	〔幺幺一一 · iiff〕
𠤊	〔勹身弓 · nezb〕
𠤋	〔勹虫虫虫 · nccc〕
𠤌	〔勹言日 · neso〕
𠤍	〔勹艹口隹 · nldu〕
𠤎	〔 · vb vbb〕
𠤏	〔匕十 · vns〕
𠤐	〔一儿 · vfpe〕
𠤑	〔矢 · vos〕
𠤒	〔人⺊一 · jyfv〕
𠤓	〔⺈宀匕 · xwvb〕
𠤔	〔甘 · vzg〕
𠤕	〔矢 · vos〕
𠤖	〔匕 · avus〕
𠤗	〔矢 · vovb〕
𠤘	〔厶矢 · vkos〕
𠤙	〔九白匕 · kuvb〕
𠤚	〔匕日巾 · vorj〕
𠤛	〔 · vcy〕
𠤜	〔矢 · vovb〕
𠤝	〔龸二匕 · smvb〕
𠤞	〔匕日宀丨 · vowg〕
𠤟	〔日冖丁 · vowa〕
𠤠	〔 · svb〕
𠤡	〔木一廾 · vefl〕
𠤢	〔匕一 · avtf〕
𠤣	〔丿冂㐅匕 · tmbv〕
𠤤	〔匕十 · vnqh〕
𠤥	〔匕冖儿 · avwp〕
𠤦	〔匕穴儿 · avep〕
𠤧	〔匕扌日 · vuot〕
𠤨	〔匕一大干 · vfme〕
𠤩	〔罒厶⺝ · ykvv〕
𠤪	〔一大日 · vfmo〕
𠤫	〔冂一匕 · pmfv〕
𠤬	〔㇈㇗ · aae〕
𠤭	〔匚人 · njr〕
𠤮	〔匚亼乛 · njae〕
𠤯	〔匚不 · ncb〕
𠤰	〔匚厶 · nhks〕
𠤱	〔匚夫 · nhf〕
𠤲	〔匚一 · nfsc〕
𠤳	〔匚古 · ncg〕
𠤴	〔匚口八 · ndhb〕
𠤵	〔匚生 · nls〕
𠤶	〔匚丶ㄅ · niua〕
𠤷	〔匚𠂉也 · neey〕
𠤸	〔匚缶 · naf〕
𠤹	〔匚人王 · njnw〕
𠤺	〔匚丿 · ntti〕
𠤻	〔匚米 · npm〕
𠤼	〔匚亻丨攵 · njgh〕
𠤽	〔匚囗人人 · nrjj〕
𠤾	〔匚口亼乛 · ndja〕
𠤿	〔匚亼乛口 · njad〕
𠥀	〔匚不口 · ncdk〕
𠥁	〔匚白八 · nuhb〕
𠥂	〔匚木丶 · nexi〕
𠥃	〔匚⺁一巾 · nxfr〕
𠥄	〔甘匸儿 · znpe〕
𠥅	〔匚口口丨 · nddg〕
𠥆	〔匚山王 · nvnw〕
𠥇	〔匚言 · nsy〕
𠥈	〔匚土欠 · ngeq〕
𠥉	〔匚白丿十 · nutn〕
𠥊	〔匚 · nzhb〕
𠥋	〔匚氵白 · nkub〕
𠥌	〔匚彳皮 · nwrp〕
𠥍	〔匚阝可 · ntzk〕
𠥎	〔匚韋 · ngw〕
𠥏	〔匚一口田 · nfdq〕
𠥐	〔匚人口 · njmd〕
𠥑	〔匚亻丨木 · njge〕
𠥒	〔匚爫臼 · nypj〕
𠥓	〔匚 · nk〕
𠥔	〔匚亻隹 · njui〕
𠥕	〔匚土厶皿 · ngka〕
𠥖	〔匚艹冖巾 · nlwr〕
𠥗	〔匚飠人 · nqjr〕
𠥘	〔匚厶厶貝 · nkko〕
𠥙	〔匚丷酉寸 · nhyk〕
𠥚	〔匚士冖殳 · ngwr〕
𠥛	〔匚䒑㐄口 · nhvd〕
𠥜	〔匚曰勹欠 · none〕
𠥝	〔匚口口殳 · nddr〕
𠥞	〔匚⺊目王 · nyqn〕
𠥟	〔匚古金 · nczj〕
𠥠	〔匚十戈車 · nnpy〕
𠥡	〔匚丨口口 · ngdd〕
𠥢	〔匚𠂉卌㐄 · nelv〕
𠥣	〔匚自方 · noel〕
𠥤	〔匚艹𠂇酉 · nlny〕
𠥥	〔匚隹隹 · nuui〕
𠥦	〔匚羽田八 · nzqh〕
𠥧	〔匚不口 · ncdk〕
𠥨	〔匚虫虫虫 · nccc〕
𠥩	〔匚 · nzhb〕
𠥪	〔匚爫臼 · nypj〕
𠥫	〔匚自穴方 · noel〕
𠥬	〔匚卝隹臼 · nlup〕
𠥭	〔匸刀 · npd〕
𠥮	〔匸冂入 · nmju〕
𠥯	〔匸氏 · nbs〕
𠥰	〔匸卯 · nbm〕
𠥱	〔匸屮凵 · nsmk〕
𠥲	〔匸口 · ndpd〕
𠥳	〔匸光 · nmg〕
𠥴	〔匸氵亼乛 · nkja〕
𠥵	〔匸言 · nsy〕
𠥶	〔匸虎 · nzh〕
𠥷	〔匸口口丶 · nddi〕
𠥸	〔臣卜匸虎 · qynz〕
𠥹	〔匸口口烏 · nddx〕
𠥺	〔匸口口口 · nddd〕
𠥻	〔𠥻 · ln〕
𠥼	〔十十 · nns〕
𠥽	〔木一 · efi〕
𠥾	〔㇏十 · xins〕
𠥿	〔⺋十 · zns〕
𠦀	〔⺊一十 · yfns〕
𠦁	〔尸十 · cns〕
𠦂	〔冫十 · wwns kns〕
𠦃	〔十⺿ · nlc〕
𠦄	〔十⺿ · nlc〕
𠦅	〔千 · llq〕
𠦆	〔日十 · ons〕
𠦇	〔豕十 · jns〕
𠦈	〔井十 · qns〕
𠦉	〔十斤 · ntj〕
𠦊	〔云十 · bns〕
𠦋	〔⺊一千 · yflq〕
𠦌	〔艹艹 · llc〕
𠦍	〔人人十 · jjns〕
𠦎	〔八八十 · hhns〕
𠦏	〔人人十 · jjns〕
𠦐	〔十几几 · nooj〕
𠦑	〔丶廾 · iloc〕
𠦒	〔艹丰 · laf〕
𠦓	〔一火十 · fcns〕
𠦔	〔十艹一 · nlfi〕
𠦕	〔工几十 · uons〕
𠦖	〔ツ厂十 · kxns〕
𠦗	〔十㠯 · nki〕
𠦘	〔工几丶十 · uoin〕
𠦙	〔十小 · nbyx〕
𠦚	〔千力力一 · lssf〕
𠦛	〔斤⺿ · tlc〕
𠦜	〔𠦜 · lx〕
𠦝	〔十日十 · nons〕
𠦞	〔匕千 · avlq〕
𠦟	〔十田凵 · nqmk〕
𠦠	〔十白一 · nufi〕
𠦡	〔十廿十 · nlns〕
𠦢	〔十刀刀刀 · nppp〕
𠦣	〔口乚⺝十 · davn〕
𠦤	〔田十 · oqns〕
𠦥	〔冫丿㠯十 · wtkn〕
𠦦	〔石几丶十 · moin〕
𠦧	〔土十 · ggns〕
𠦨	〔⺈十 · xspn〕
𠦩	〔十木攵 · nehp〕
𠦪	〔十⺿大十 · nlmn〕
𠦫	〔口耳十 · dqns〕
𠦬	〔丿人人十 · tjjn〕
𠦭	〔氵丿㠯十 · ktkn〕
𠦮	〔一ㄅ灬十 · facn〕
𠦯	〔丷艮 · huig〕
𠦰	〔十耳欠 · nqeq〕
𠦱	〔十田一 · nqfb〕
𠦲	〔⺊日十廾 · yonl〕
𠦳	〔厂彡千 · ixel〕
𠦴	〔廿㇗㇗ · ulaa〕
𠦵	〔十口口十 · nddn〕
𠦶	〔廿十 · lpns〕
𠦷	〔⺊日十廾 · yonl〕
𠦸	〔言冫十 · swwn〕
𠦹	〔十豕辶 · njuc〕
𠦺	〔〢 · puhu〕
𠦻	〔丷土夊 · hugh〕
𠦼	〔幺隹十 · iuns〕
𠦽	〔十十田心 · nnqh〕
𠦾	〔十止止止 · nsss〕
𠦿	〔禾小廾 · xxyl〕
𠧀	〔犭馬十 · mnns〕
𠧁	〔十田 · nsqt〕
𠧂	〔十卝句攵 · nlgh〕
𠧃	〔甫白丿十 · nutn〕
𠧄	〔⺊日十干 · yone〕
𠧅	〔冎口白十 · fdun〕
𠧆	〔䒑龷八十 · hlhn〕
𠧇	〔⺊日十廾 · yonl〕
𠧈	〔古口口十 · cddn〕
𠧉	〔古口口十 · cddn〕
𠧊	〔丿㠯十 · tkne〕
𠧋	〔十几千黑 · nolp〕
𠧌	〔丿廾一 · tlff〕
𠧍	〔⻗而丿廾 · tltl〕
𠧎	〔爫口丿十 · ydtn〕
𠧏	〔爫口口十 · yddn〕
𠧐	〔隹言隹十 · usun suun〕
𠧑	〔古十 · pchn〕
𠧒	〔⺊乙 · yai〕
𠧓	〔卜刀丶 · ypid〕
𠧔	〔⺊一夂 · yfhi〕
𠧕	〔⺊一尸 · yfcs〕
𠧖	〔⺊贝 · yob〕
𠧗	〔⺊一一卜 · yffy〕
𠧘	〔又 · zry〕
𠧙	〔刀口卜 · pdyb〕
𠧛	〔⺊一尸㇏ · yfci〕
𠧜	〔⺊冂女 · ymbn〕
𠧝	〔⺊⺄六 · yaal〕
𠧞	〔儿冫卜 · pwwy〕
𠧟	〔⺊囗乂㇗ · yrba〕
𠧠	〔⺊囗コ㇗ · yrna〕
𠧡	〔⺊目㇗ · yqae〕
𠧢	〔⺊日匕 · yovb〕
𠧣	〔⺊厂斤 · yxtj〕
𠧤	〔⺊囗乂ㄅ · yrba〕
𠧥	〔二卜二卜 · mymy〕
𠧦	〔䒑幺卜 · hiyb〕
𠧧	〔⺊囗夂 · yrhi〕
𠧨	〔各卜 · syb〕
𠧩	〔𠂉母卜 · ekyb〕
𠧪	〔⺊囗人人 · yrjj〕
𠧫	〔⺊日夊 · yohi〕
𠧬	〔丿口卜 · btdy〕
𠧭	〔大木卜 · meyb〕
𠧮	〔尸毛卜 · cvyb〕
𠧯	〔⺊冂人 · ymjh〕
𠧰	〔一口 · gfdk〕
𠧱	〔⺊囗夂㇗ · yrha〕
𠧲	〔⺊冂 · ymgy〕
𠧳	〔⺊口水 · ydks〕
𠧴	〔⺊囗人㇗ · yrja〕
𠧵	〔⺊囗人大 · yrjm〕
𠧶	〔⺊冖八水 · ywhk〕
𠧷	〔⺊囗人ㄅ · yrja〕
𠧸	〔⺊囗心丿 · yrht〕
𠧹	〔⺊口 · ydks〕
𠧺	〔⺊囗夊 · yruh〕
𠧻	〔⺊日水 · yoks〕
𠧼	〔⺊冂又爪 · ymry〕
𠧽	〔⺊几夕火 · yolc〕
𠧾	〔⺊囗夂夂 · yrhh〕
𠧿	〔⺊冂人夫 · ymjh〕
𠨀	〔⺊目凵巛 · yqmo〕
𠨁	〔⺊冂人 · ymjt〕
𠨂	〔⺊勹 · ynee〕
𠨃	〔田力夕卜 · qsly〕
𠨄	〔⺊囗乂口 · yrbd〕
𠨅	〔⺊日囗㇗ · yora〕
𠨆	〔⺊冂八人 · ymhj〕
𠨇	〔⺊冂又木 · ymre〕
𠨈	〔⺊冂八人 · ymhj〕
𠨉	〔人人人卜 · jjjy〕
𠨊	〔一冂卜 · qfmy〕
𠨋	〔⺊囗人人 · yrjj〕
𠨌	〔⺊冂夂示 · ymhf〕
𠨍	〔卩 · izj〕
𠨎	〔⺋⺋ · zzj〕
𠨏	〔又卩 · rzj〕
𠨐	〔卩 · vzj〕
𠨑	〔亡卩 · fzj〕
𠨒	〔匕卩 · vvzj〕
𠨓	〔弓丨弓丨 · bgbg〕
𠨔	〔㔿彐 · qbj〕
𠨕	〔⺋⺋⺋ · zzzj〕
𠨖	〔卪卪 · zzj〕
𠨗	〔⺁一 · xfzj〕
𠨘	〔心丿卩 · htzj〕
𠨙	〔丶ヿ土卩 · iagz〕
𠨚	〔㐅𠂇巾卩 · bnrz〕
𠨛	〔亡心卩 · fhzj〕
𠨜	〔⺈厂⺋儿 · xxzp〕
𠨝	〔一心卩 · bfhz〕
𠨞	〔卩 · iizj〕
𠨟	〔丿米大⺋ · tpmz〕
𠨠	〔卩㇏ · izxi〕
𠨡	〔爿士卯 · agbm〕
𠨢	〔⺈厂⺋夊 · xxzh〕
𠨣	〔卯一 · bfcy〕
𠨤	〔山山山⺋ · vvvz〕
𠨥	〔犭耳卯 · bmqb〕
𠨦	〔页几土卩 · wogz〕
𠨧	〔丿囗⺋ · ptrz〕
𠨨	〔冂一⺋ · pmfz〕
𠨩	〔冂一⺋ · pmfz〕
𠨪	〔⺈厂⺋儿 · xxzp〕
𠨫	〔言糹糹卵 · siib〕
𠨬	〔厂匕 · xvb〕
𠨭	〔厂 · xus〕
𠨮	〔厂ㄥ大 · xamd〕
𠨯	〔厂子 · xhi〕
𠨰	〔戶乚 · mae〕
𠨱	〔厂也 · xey〕
𠨲	〔屮厂 · sxc〕
𠨳	〔厂卪 · xzj〕
𠨴	〔厂人 · xjpd〕
𠨵	〔厂丰 · xaf〕
𠨶	〔厂夫 · xhf〕
𠨷	〔厂一丨㇆ · xfga〕
𠨸	〔厂 · xti〕
𠨹	〔厂⺁又 · xxry〕
𠨺	〔厂𠂉十 · xens〕
𠨻	〔厂殳 · xrs〕
𠨼	〔厂韦 · xgw〕
𠨽	〔厂匕 · xvvb〕
𠨾	〔厂手 · xus〕
𠨿	〔厂氏 · xbs〕
𠩀	〔厂凵屮 · xmsc〕
𠩁	〔厂夂⺀ · xhwb〕
𠩂	〔厂土厶 · xgks〕
𠩄	〔厂 · xpru〕
𠩅	〔厂瓦 · xrw〕
𠩆	〔厂匕 · xsvb〕
𠩇	〔厂九彡 · xkes〕
𠩈	〔厂丶王 · xinw〕
𠩉	〔厂屮凵 · xsmk〕
𠩊	〔厂日 · xvor〕
𠩋	〔厂䒑 · xhsc〕
𠩌	〔厂丿囗夂 · xtrh〕
𠩍	〔厂丨土又 · xggr〕
𠩎	〔厂乍一 · xwfi〕
𠩏	〔厂⺊一小 · xyfy〕
𠩐	〔𠩐 · fc〕
𠩑	〔厂丿匕 · xbtv〕
𠩒	〔厂日又 · xory〕
𠩓	〔厂儿冫 · xpww〕
𠩔	〔厂火匕 · xcvb〕
𠩕	〔厂米 · xpm〕
𠩖	〔丷厂肀 · hxbv〕
𠩗	〔厂氵欠 · xkeq〕
𠩘	〔厂大人人 · xmjj〕
𠩙	〔厂丿扌戈 · xtup〕
𠩚	〔厂酉 · xyy〕
𠩛	〔厂囗人人 · xrjj〕
𠩜	〔厂人人土 · xjjg〕
𠩝	〔厂土方 · xglf〕
𠩞	〔厂戶子 · xmhi〕
𠩟	〔厂土人人 · xgjj〕
𠩠	〔厂貝 · xob〕
𠩡	〔厂亻白 · xjub〕
𠩢	〔厂㇒士廴 · xtgu〕
𠩣	〔厂人口儿 · xjdp〕
𠩤	〔厂曰小 · xoyx〕
𠩥	〔厂口王 · xdnw〕
𠩦	〔厂忄欠 · xheq〕
𠩧	〔厂亼乛止 · xjas〕
𠩨	〔厂女又子 · xbrh〕
𠩩	〔厂日ㄅ大 · xoam〕
𠩪	〔厂木冂刂 · xemp〕
𠩫	〔厂臼儿 · xppe〕
𠩬	〔厂木人人 · xejj〕
𠩭	〔厂子 · xghi〕
𠩮	〔厂𠂇自 · xnoi〕
𠩯	〔厂厶丿甲 · xkts〕
𠩰	〔厂口口十 · xddn〕
𠩱	〔厂木欠 · xeeq〕
𠩲	〔厂白丿十 · xutn〕
𠩳	〔厂一巳 · xzfv〕
𠩴	〔厂白夊 · xuhi〕
𠩵	〔厂木木 · xeem〕
𠩶	〔厂田丿十 · xqtn〕
𠩷	〔厂 · xihb〕
𠩸	〔厂 · xqs〕
𠩹	〔厂宀火又 · xwcr〕
𠩺	〔未攵厂 · ahxc〕
𠩻	〔厂一殳 · xufr〕
𠩼	〔厂未欠 · xaeq〕
𠩽	〔厂米一 · xvpf〕
𠩾	〔厂禾火 · xxch〕
𠩿	〔厂田艹十 · xqln〕
𠪀	〔厂日口十 · xodn〕
𠪁	〔厂禾欠 · xxeq〕
𠪂	〔厂户 · xmic〕
𠪃	〔厂目 · xcqm〕
𠪄	〔厂⺿田 · xlqt〕
𠪅	〔厂二又 · xcmr〕
𠪆	〔厂土土寸 · xggk〕
𠪇	〔厂丨又 · xpgr〕
𠪈	〔厂亼口止 · xjds〕
𠪉	〔厂⺶工 · xgug〕
𠪊	〔厂䒑 · xhbc〕
𠪋	〔厂日口亅 · xodg〕
𠪌	〔厂亠火 · xzcc〕
𠪍	〔厂彳皮⺋ · xwrz〕
𠪎	〔厂大丷乚 · xmha〕
𠪏	〔厂丯艮 · xaig〕
𠪐	〔厂田 · xbqt〕
𠪑	〔厂土八丶 · xghi〕
𠪒	〔厂口金 · xdzj〕
𠪓	〔厂女又糸 · xbri〕
𠪔	〔厂爫古又 · xycr〕
𠪕	〔一厂 · fcxc〕
𠪖	〔厂木木土 · xeeg〕
𠪗	〔厂言欠 · xseq〕
𠪘	〔厂彐月殳 · xbvr〕
𠪙	〔厂田龷八 · xqlh〕
𠪚	〔厂乛耳攵 · xaqh〕
𠪛	〔厂廿火火 · xlcc〕
𠪜	〔厂⺿金 · xlzj〕
𠪝	〔厂丷酉大 · xhym〕
𠪞	〔厂人人日 · xjjo〕
𠪟	〔厂艮缶 · xiaf〕
𠪠	〔厂木木月 · xeev〕
𠪡	〔厂尸耂日 · xcqo〕
𠪢	〔厂金欠 · xzeq〕
𠪣	〔厂龷⺝攵 · xlvh〕
𠪤	〔厂龷八土 · xlhg〕
𠪥	〔厂白小水 · xuyk〕
𠪦	〔厂亼口缶 · xjda〕
𠪧	〔⺁巴田木 · xmqe〕
𠪨	〔厂里八土 · xdhg〕
𠪩	〔厂黑 · xph〕
𠪪	〔厂丿人土 · xtjg〕
𠪫	〔厂十目攵 · xnqh〕
𠪬	〔厂乛耳攴 · xaqh〕
𠪭	〔厂屮凵攵 · xsmh〕
𠪮	〔厂尸口辛 · xcdn〕
𠪯	〔厂罒土 · xygg〕
𠪰	〔厂白水心 · xukh〕
𠪱	〔厂禾禾 · xxxs〕
𠪲	〔厂廿口力 · xlds〕
𠪳	〔丿覀⺽乛 · tvpa〕
𠪴	〔厂木木疋 · xeet〕
𠪵	〔厂龷千里 · xlld〕
𠪶	〔厂歹匕豆 · xgvz〕
𠪷	〔厂日冖車 · xowy〕
𠪸	〔厂艹廿木 · xlle〕
𠪹	〔厂艹口瓦 · xldr〕
𠪺	〔厂禾禾刀 · xxxp〕
𠪻	〔⺁巴甫寸 · xmnk〕
𠪼	〔厂土艮 · xggi〕
𠪽	〔厂立㠯尤 · xiko〕
𠪾	〔厂禾禾心 · xxxh〕
𠪿	〔厂⺿田虫 · xlqc〕
𠫀	〔厂尸口土 · xcdg〕
𠫁	〔厂王王日 · xnno〕
𠫂	〔厂虍田皿 · xzqa〕
𠫃	〔厂土木 · xgge〕
𠫄	〔厂羊丷龴 · xghk〕
𠫅	〔艹厶口子 · lkdh〕
𠫆	〔厂日子口 · xohd〕
𠫇	〔厂耳十心 · xqnh〕
𠫈	〔厂糹火毛 · xicv〕
𠫉	〔厂目頁 · xvqw〕
𠫊	〔厂乛耳心 · xaqh〕
𠫋	〔厂艹魚禾 · xlwx〕
𠫌	〔厂禾禾殳 · xxxr〕
𠫍	〔厂貝貝貝 · xooo〕
𠫎	〔厂目目金 · xqqz〕
𠫏	〔厂禾禾十 · xxxn〕
𠫐	〔厂白水水 · xukk〕
𠫑	〔厂馬馬馬 · xnnn〕
𠫒	〔厂白水水 · xukk〕
𠫓	〔一厶 · fks〕
𠫔	〔一厶 · fks〕
𠫕	〔乙厶 · aks〕
𠫖	〔厶乚 · kae〕
𠫗	〔几厶 · oks〕
𠫘	〔厶十 · kns〕
𠫙	〔厶亾 · kfw〕
𠫚	〔厶 · kus〕
𠫛	〔厶一厶 · kfks〕
𠫜	〔厶⺄力 · kasl〕
𠫝	〔厶 · koc〕
𠫞	〔厶厶几 · kkoj〕
𠫟	〔一厶 · rfks〕
𠫠	〔厶几几 · kooj〕
𠫡	〔厶木 · kem〕
𠫢	〔丰厶 · aks〕
𠫣	〔厶冂人 · kmjr〕
𠫤	〔㐅𠂇厶 · bnks〕
𠫥	〔厶 · hks〕
𠫦	〔厶冖巾 · kwrj〕
𠫧	〔厶一冂人 · kfmj〕
𠫨	〔厶厶几丶 · kkoi〕
𠫩	〔厶口小 · kdyx〕
𠫪	〔厶口大 · kdmd〕
𠫫	〔厶厶厶ㄅ · kkka〕
𠫬	〔厶厶厶厶 · kkkk〕
𠫭	〔厶大小 · kmyx〕
𠫮	〔厶日几 · kooj〕
𠫯	〔厶厶厶人 · kkkj〕
𠫰	〔厶厶厶三 · kkkt〕
𠫱	〔厶厶厶 · kkko〕
𠫲	〔㐅𠂇厶十 · bnkn〕
𠫳	〔土厶及 · gkcj〕
𠫴	〔土厶𡭔丿 · gkyt〕
𠫵	〔厶大⺗ · kmhx〕
𠫶	〔厶里 · kdl〕
𠫷	〔㐅𠂇厶丶 · bnki〕
𠫸	〔𠫸 · qq〕
𠫹	〔厶厶田十 · kkqn〕
𠫺	〔厶口口十 · kddn〕
𠫻	〔厶大士凵 · kmgm〕
𠫼	〔𠫼 · qq〕
𠫽	〔厶大三三 · kmtt〕
𠫾	〔土厶夕夕 · gkll〕
𠫿	〔厶大一 · kmfb〕
𠬀	〔厶厶田厶 · kkqk〕
𠬁	〔厶厶厶土 · kkkg〕
𠬂	〔厶厶冖㐄 · kkwv〕
𠬃	〔土厶甫 · gknf〕
𠬄	〔厶厶厶三 · kkkt〕
𠬅	〔厶厶厶三 · kkkt〕
𠬆	〔糸糸 · iis〕
𠬇	〔土厶小 · gkgy〕
𠬈	〔土厶白十 · gkun〕
𠬉	〔土厶爫 · gkyb〕
𠬊	〔厶厶彡 · koke〕
𠬋	〔厶厶日生 · kkol〕
𠬌	〔䒑廾厶夊 · hlkh〕
𠬍	〔厶八夊 · khhp〕
𠬎	〔厶厶厶女 · kkkb〕
𠬏	〔厶牛冂亡 · kqmf〕
𠬐	〔齐⺼ · qvy〕
𠬑	〔土厶土厶 · gkgk〕
𠬒	〔土厶骨 · gkfg〕
𠬓	〔厶厶厶儿 · kkkp〕
𠬔	〔厶厶厶 · kkka〕
𠬕	〔土厶衤甫 · gktn〕
𠬖	〔土厶衤甫 · gktn〕
𠬗	〔𠂇厶⺷戈 · nkgp〕
𠬘	〔齐非一 · qrfi〕
𠬙	〔矢口二兩 · odmm〕
𠬚	〔九又 · kry〕
𠬛	〔刀又 · pry〕
𠬜	〔又乚乚 · raae〕
𠬞	〔又 · iry〕
𠬟	〔又厶 · rks〕
𠬠	〔丷又 · hry〕
𠬡	〔厂一又 · xfry〕
𠬢	〔屮又 · sry〕
𠬣	〔一ㄅ又 · fary〕
𠬥	〔巾又 · rry〕
𠬦	〔丿冂又 · tmry〕
𠬧	〔丬又 · ary〕
𠬨	〔卪又 · zry〕
𠬩	〔又 · cry〕
𠬪	〔爫又 · yry〕
𠬫	〔㇆乚コ又 · aanr〕
𠬬	〔八 · hcj〕
